prediction,time
Angry,23
Angry,23
Angry,24
Angry,24
Angry,24
Angry,24
Angry,24
Angry,24
Angry,25
Angry,25
Angry,25
Happy,25
Angry,25
Angry,25
Happy,26
Angry,26
Happy,26
Happy,26
Happy,26
Happy,26
Angry,27
Happy,27
Angry,27
Happy,27
Angry,27
Happy,27
Happy,27
Happy,27
Happy,27
Happy,27
Angry,27
Happy,27
Angry,28
Happy,28
Angry,28
Happy,28
Angry,28
Happy,28
Angry,28
Happy,28
Angry,28
Happy,28
Happy,28
Angry,28
Angry,28
Happy,28
Happy,29
Angry,29
Happy,29
Angry,29
Happy,29
Angry,29
Angry,29
Happy,29
Happy,29
Angry,29
Angry,29
Happy,29
neutral,29
Angry,29
Happy,29
Happy,29
Happy,29
Angry,29
Angry,29
Happy,29
Happy,29
Angry,29
Happy,29
Happy,29
Happy,30
Angry,30
Angry,30
Happy,30
Happy,30
Angry,30
Happy,30
Happy,30
Happy,30
Angry,30
Angry,30
Happy,30
Angry,30
Happy,30
Happy,30
Angry,30
Happy,30
Happy,30
Angry,30
Angry,30
Happy,30
Angry,31
Happy,31
Happy,31
Angry,31
Happy,31
Happy,31
Angry,31
Happy,31
Happy,31
Angry,31
Angry,31
Happy,31
Angry,31
Happy,31
Happy,31
Angry,31
Happy,31
Happy,31
Happy,32
Happy,32
Happy,32
Happy,32
Happy,32
Happy,32
Happy,33
Happy,33
Happy,33
Happy,33
Happy,33
Happy,33
Happy,33
Happy,33
Happy,33
Happy,33
Happy,34
Happy,34
Happy,34
Happy,34
Happy,34
Happy,34
Happy,34
Happy,34
Happy,34
Happy,34
Happy,34
Happy,34
Happy,34
Happy,34
Happy,34
Happy,34
Happy,34
Happy,35
Happy,35
Happy,35
Happy,35
Happy,35
Happy,35
Happy,35
Happy,35
Happy,35
Happy,35
Happy,35
Happy,35
Happy,35
Happy,35
Happy,35
Happy,35
Happy,35
Happy,35
Happy,36
Happy,36
Happy,36
Happy,36
Happy,36
Happy,36
Happy,36
Happy,36
Happy,36
Happy,36
Happy,36
Happy,36
Happy,36
Happy,36
Happy,36
Happy,36
Happy,36
Happy,36
Happy,37
Happy,37
Happy,37
Happy,37
Angry,37
Happy,37
Happy,37
Happy,37
Angry,37
Happy,37
Happy,37
Happy,37
Angry,37
Happy,37
Happy,37
Happy,37
Angry,37
Happy,37
Happy,37
Happy,37
Angry,37
Happy,37
Happy,37
Happy,38
Angry,38
Happy,38
Happy,38
Happy,38
Angry,38
Happy,38
Happy,38
Happy,38
Angry,38
Happy,38
Happy,38
Happy,38
Angry,38
Happy,38
Happy,38
Happy,38
Angry,38
Angry,38
Happy,38
Happy,38
Angry,38
Happy,38
Happy,38
Happy,39
Angry,39
Happy,39
Happy,39
Happy,39
Angry,39
Happy,39
Happy,39
Happy,39
Angry,39
Happy,39
Happy,39
Happy,39
Happy,39
Angry,39
Happy,39
Happy,39
Happy,39
Angry,39
Happy,39
Happy,39
Happy,39
Angry,39
Happy,39
Happy,40
Happy,40
Angry,40
Happy,40
Happy,40
Happy,40
Happy,40
Happy,40
Happy,40
Happy,40
Angry,40
Happy,40
Happy,40
Angry,40
Happy,40
Happy,40
Angry,40
Happy,40
Angry,40
Happy,40
Happy,40
Angry,40
Happy,40
Happy,41
Happy,41
Happy,41
Angry,41
Happy,41
Happy,41
Angry,41
Happy,41
Happy,41
Happy,41
Happy,41
Happy,41
Happy,41
Happy,41
Happy,41
Angry,41
Happy,41
Happy,41
Happy,41
Angry,41
Happy,41
Happy,41
Happy,42
Angry,42
Happy,42
Happy,42
Happy,42
Angry,42
Happy,42
Happy,42
Happy,42
Angry,42
Happy,42
Happy,42
Happy,42
Happy,42
Angry,42
Happy,42
Happy,42
Happy,42
Happy,42
Angry,42
Happy,42
