prediction,time
Surprise,7
Surprise,7
Surprise,8
Surprise,18
Surprise,19
Surprise,19
Surprise,19
Surprise,19
Happy,23
Happy,23
Happy,23
Happy,23
Happy,23
Happy,24
Happy,24
Happy,24
Happy,24
Happy,24
Happy,24
Happy,25
Happy,25
Happy,25
Happy,25
Happy,25
Happy,25
Happy,46
Happy,46
Happy,56
Happy,57
Sad,57
Happy,57
Sad,57
Happy,57
Happy,57
Sad,57
Happy,57
Angry,57
Happy,57
Sad,57
Happy,57
Angry,57
Happy,57
Sad,57
Happy,57
Happy,57
Angry,57
Happy,57
Sad,57
Happy,57
Happy,57
Angry,57
Happy,58
Sad,58
Happy,58
Angry,58
Happy,58
Sad,58
Happy,58
Happy,58
Angry,58
Happy,58
Sad,58
Happy,58
Happy,58
Happy,58
Angry,58
Sad,58
Happy,58
Angry,58
Happy,58
Sad,58
Happy,58
Angry,58
Happy,58
Sad,58
Happy,58
Angry,58
Happy,58
Sad,59
Happy,59
Happy,59
Angry,59
Happy,59
Sad,59
Happy,59
Happy,59
Angry,59
Happy,59
Sad,59
Happy,59
Happy,59
Angry,59
Happy,59
Sad,59
Happy,59
Happy,59
Angry,59
Happy,59
Sad,59
Happy,59
Happy,59
Angry,59
Happy,59
Sad,59
Happy,59
Happy,59
Angry,59
Happy,59
Sad,0
Happy,0
Happy,0
Angry,0
Sad,0
Happy,0
Happy,0
Happy,0
Angry,0
Sad,0
Happy,0
Happy,0
Happy,0
Angry,0
Sad,0
Happy,0
Happy,0
Happy,0
Angry,0
Sad,0
Happy,0
Happy,0
Happy,0
Angry,0
Sad,0
Happy,0
Happy,0
Angry,0
Angry,0
Sad,1
Happy,1
Happy,1
Angry,1
Angry,1
Sad,1
Happy,1
Happy,1
Angry,1
Sad,1
Sad,1
Angry,51
Angry,51
Angry,51
Angry,51
Angry,1
Angry,1
Angry,1
Angry,1
Angry,2
Angry,2
Angry,2
Angry,2
Angry,1
Angry,2
Angry,3
Angry,2
Angry,3
Angry,3
Angry,3
Angry,3
Angry,3
Angry,4
Angry,4
Angry,4
Angry,4
Angry,4
Angry,4
Angry,5
Angry,5
Angry,5
Angry,5
Angry,5
Angry,5
Angry,6
